track_id,track_name,artist_name,danceability,energy,valence,speechiness
559SdaPI7mqy9IQiscuaMj,Sure Thing - Sped Up,Miguel,0.753,0.458,0.662,0.123
4jbmgIyjGoXjY01XxatOx6,Dark Horse,Katy Perry,0.647,0.585,0.353,0.0512
0l0CvurVUrr2w3Jj1hOVFc,NO,Meghan Trainor,0.557,0.803,0.657,0.213
2ACOWPLUe4A4KuQ5ioD2od,That's My Girl,Fifth Harmony,0.596,0.851,0.612,0.121
7kEva2rxsNMn07fyfZMRRn,Cure For Me,AURORA,0.722,0.764,0.416,0.0554
0MMyJUC3WNnFS1lit5pTjk,"jealousy, jealousy",Olivia Rodrigo,0.695,0.575,0.699,0.116
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,Taylor Swift,0.615,0.534,0.193,0.0386
360Wr96ywrCQq4kTAJ8Pq6,Pacify Her,Melanie Martinez,0.576,0.593,0.373,0.0306
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,0.588,0.521,0.337,0.0329
3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,Lana Del Rey,0.565,0.654,0.235,0.0335
6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,girl in red,0.566,0.366,0.237,0.028
235LXPXfi0SmOaS9TaCh3c,Teenage Dream,Katy Perry,0.719,0.798,0.591,0.0361
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,0.647,0.8,0.942,0.165
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,0.851,0.806,0.774,0.0787
1pXrR5Y9OgcIV2JEAl2lCB,I Kissed A Girl,Katy Perry,0.702,0.76,0.696,0.0684
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,Miley Cyrus,0.652,0.698,0.47,0.042
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,0.782,0.58,0.66,0.0407
1TEjSXPdAakDotj2Wji3PU,Hot N Cold,Katy Perry,0.706,0.842,0.861,0.0417
6FB3v4YcR57y4tXFcdxI1E,I Knew You Were Trouble.,Taylor Swift,0.622,0.469,0.679,0.0363
48QmG1dfvMuYLxMPt7KSRA,No Lie,Sean Paul,0.742,0.882,0.463,0.117
35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,0.737,0.802,0.682,0.0878
11ZulcYY4lowvcQm4oe3VJ,Slumber Party (feat. Princess Nokia),Ashnikko,0.964,0.398,0.563,0.0795
6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,0.824,0.764,0.881,0.0854
5GK7eDDTVz7CTge1wJrDQW,Kill This Love,BLACKPINK,0.738,0.861,0.58,0.237
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,0.726,0.787,0.888,0.0737
3oHNJECGN3bBoGXejlw2b1,Last Friday Night (T.G.I.F.),Katy Perry,0.652,0.81,0.732,0.0406
2CEgGE6aESpnmtfiZwYlbV,Dynamite,Taio Cruz,0.751,0.781,0.814,0.0862
7EQGXaVSyEDsCWKmUcfpLk,Die Young,Kesha,0.711,0.7,0.801,0.046
3f7gYMirBEKuc57218BjOY,California Gurls,Katy Perry,0.789,0.753,0.403,0.0537
3cHyrEgdyYRjgJKSOiOtcS,Timber,Pitbull,0.581,0.963,0.788,0.0981
0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,0.695,0.921,0.714,0.0363
6sUQqRmOcRyAG5M3EWXzr3,Don't Lose Ur Head,SIX,0.859,0.605,0.722,0.357
1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,Taylor Swift,0.766,0.709,0.506,0.123
2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,One Direction,0.731,0.703,0.595,0.0368
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,OneRepublic,0.663,0.706,0.474,0.0383
4svaKoxMMP7ImmKrD5hfQu,Victoria's Secret,Jax,0.586,0.556,0.517,0.0592
2s4tJJozLkks92i2LfFZWi,Deja Vu,WENGIE,0.915,0.824,0.699,0.0506
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,Shawn Mendes,0.443,0.82,0.771,0.34
3PDpFcePJN62UaOReMdM7d,Learn To Meow (Remix),WENGIE,0.795,0.846,0.644,0.038
6tCd8bPvYnceDG7W9M1RMk,Shut Down,BLACKPINK,0.813,0.657,0.651,0.0372
2KZ3sNqPogEyMUUH6A5HFy,LALISA,LISA,0.804,0.652,0.854,0.0898
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,0.628,0.698,0.732,0.105
6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,0.774,0.838,0.924,0.114
59CfNbkERJ3NoTXDvoURjj,Boyfriend,Dove Cameron,0.345,0.612,0.232,0.0608
6SRsiMl7w1USE4mFqrOhHC,brutal,Olivia Rodrigo,0.672,0.526,0.28,0.0599
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Doja Cat,0.664,0.609,0.194,0.0707
6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,0.788,0.844,0.382,0.0334
4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,0.695,0.54,0.415,0.0493
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,0.41,0.611,0.0899,0.0467
5MWXOo8DJwgODtPGaietNz,cinderella's dead,EMELINE,0.596,0.607,0.531,0.168
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,0.609,0.692,0.454,0.0259
6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,0.442,0.612,0.178,0.112
4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,0.563,0.664,0.688,0.154
32BeYxKPrig1LefHsC0Xuo,Happier Than Ever - Edit,Billie Eilish,0.334,0.599,0.127,0.0365
3uwnnTQcHM1rDqSfA4gQNz,Cool for the Summer,Demi Lovato,0.583,0.61,0.336,0.0382
4GRFzKI7jTZ3kbMfouc7bn,Backstabber,Kesha,0.6,0.939,0.833,0.19
53jnnqFSRGMDB9ADrNriCA,Bloody Mary,Lady Gaga,0.591,0.634,0.44,0.0291
50r1EUDpmSZRPo5aIZpmWi,E.T.,Katy Perry,0.603,0.863,0.731,0.0773
63mdJr3NMY3wReOkNE6c6W,People You Know,Selena Gomez,0.695,0.62,0.619,0.0521
4R2kfaDFhslZEMJqAFNpdd,cardigan,Taylor Swift,0.613,0.581,0.551,0.0424
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,0.76,0.703,0.57,0.054
0wI7QkCcs8FUQE1OkXUIqd,Scars To Your Beautiful,Alessia Cara,0.319,0.739,0.449,0.272
37f4ITSlgPX81ad2EvmVQr,Fight Song,Rachel Platten,0.564,0.714,0.33,0.129
6rmXhRIemCTPyMYZRDN7Qg,Black Magic,Little Mix,0.776,0.875,0.849,0.0575
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,0.655,0.76,0.409,0.045
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,0.825,0.652,0.931,0.0802
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,0.765,0.523,0.394,0.03
6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes,0.759,0.548,0.75,0.0289
1XGmzt0PVuFgQYYnV2It7A,Payphone,Maroon 5,0.743,0.752,0.545,0.0414
2009X8GyWTqyxIdzAEYW6N,The One That Got Away,Katy Perry,0.689,0.795,0.876,0.0356
4JQSMg83F8qYwSBt5xOXsQ,Diamonds,Rihanna,0.562,0.709,0.401,0.0424
48RrDBpOSSl1aLVCalGl5C,The Monster,Eminem,0.781,0.853,0.626,0.0714
27tNWlhdAryQY04Gb2ZhUI,Roar,Katy Perry,0.671,0.771,0.436,0.0316
7qvxFz3JodM0A7xEM7k3YD,Chained To The Rhythm,Katy Perry,0.562,0.8,0.471,0.112
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.666,0.83,0.702,0.0751
60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.822,0.962,0.183
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson,0.856,0.609,0.928,0.0824
1vnnXMrBeEWiRg3YCMCjQq,Despacito - Remix,Luis Fonsi,0.649,0.798,0.857,0.178
3whrwq4DtvucphBPUogRuJ,Havana - Remix,Camila Cabello,0.751,0.579,0.349,0.0321
